,nfl_id,esb_id,gsis_id,full_name,last_name,dob,pfr_id,first_name,height,weight,college,draft_year,draft_position,combine_forty,combine_bench_reps,combine_broad_jump,combine_shuttle,combine_cone,combine_vertical
23,2502644,RIC161816,00-0013644,Simeon Rice,Rice,1974-02-24,RiceSi00,Simeon,77.0,268.0,Illinois,1996.0,3.0,,,,,,
24,2502766,RUB488116,00-0014128,Angel Rubio,Rubio,1975-04-12,RubiAn21,Angel,74.0,300.0,SE Missouri St.,1998.0,221.0,,,,,,
25,2502792,RUT743171,00-0014209,Johnny Rutledge,Rutledge,1977-01-04,RutlJo20,Johnny,75.0,239.0,Florida,1999.0,51.0,,,,,,
26,2502822,SAN326913,00-0014328,Frank Sanders,Sanders,1973-02-17,SandFr00,Frank,74.0,215.0,Auburn,1995.0,47.0,,,,,,
27,2502832,SAP610185,00-0014357,Patrick Sapp,Sapp,1973-05-11,SappPa20,Patrick,76.0,258.0,Clemson,1996.0,50.0,,,,,,
28,2501947,MCC402792,00-0010700,J.J. McCleskey,McCleskey,1970-04-10,McClJ.20,J.J.,68.0,180.0,Tennessee,,,,,,,,
29,2501960,MCC749526,00-0010762,Andy McCullough,McCullough,1975-11-11,McCuAn00,Andy,75.0,210.0,Tennessee,1998.0,204.0,,,,,,
30,2502023,MCK395782,00-0010951,Dennis McKinley,McKinley,1976-11-03,McKiDe00,Dennis,74.0,250.0,Mississippi St.,1999.0,206.0,,,,,,
31,2502026,MCK662336,00-0010970,Ronald McKinnon,McKinnon,1973-09-20,McKiRo21,Ronald,72.0,246.0,North Alabama,,,,,,,,
32,2502056,MCW490098,00-0011068,Johnny McWilliams,McWilliams,1972-12-14,McWiJo00,Johnny,76.0,271.0,USC,1996.0,64.0,,,,,,
33,2502876,SCO784422,00-0014589,Yusuf Scott,Scott,1976-11-30,ScotYu20,Yusuf,75.0,348.0,Arizona,1999.0,168.0,,,,,,
34,2502885,SEA512568,00-0014618,Corey Sears,Sears,1973-04-15,SearCo20,Corey,75.0,314.0,Mississippi St.,,,,,,,,
35,2502927,SHE428521,00-0014776,L.J. Shelton,Shelton,1976-03-21,ShelL.20,L.J.,78.0,345.0,East. Michigan,1999.0,21.0,,,,,,
36,2503037,SMI502280,00-0015255,Mark Smith,Smith,1974-08-28,SmitMa20,Mark,76.0,294.0,Auburn,1997.0,212.0,,,,,,
37,2500855,GRA112165,00-0006197,Aaron Graham,Graham,1973-05-22,GrahAa20,Aaron,76.0,301.0,Nebraska,1996.0,112.0,,,,,,
38,2500917,GRE805046,00-0006410,Chris Greisen,Greisen,1976-07-02,GreiCh00,Chris,75.0,227.0,NW Missouri St.,1999.0,239.0,,,,,,
39,2500052,CHA820452,00-0002919,Corey Chavous,Chavous,1976-01-05,ChavCo00,Corey,73.0,204.0,Vanderbilt,1998.0,33.0,,,,,,
40,2500085,CLA391108,00-0003045,Jon Clark,Clark,1973-03-11,ClarJo20,Jon,78.0,345.0,Temple,1996.0,187.0,,,,,,
41,2500104,CLE167954,00-0003105,Anthony Clement,Clement,1976-04-10,ClemAn20,Anthony,80.0,320.0,Louisiana,1998.0,36.0,,,,,,
42,2500123,COD507576,00-0003175,Mac Cody,Cody,1972-08-07,CodyMa00,Mac,71.0,182.0,Memphis,,,,,,,,
43,2501026,HAR128014,00-0006848,Terry Hardy,Hardy,1976-05-31,HardTe00,Terry,76.0,266.0,Southern Miss,1998.0,125.0,,,,,,
44,2501098,HAY207637,00-0007147,Jarius Hayes,Hayes,1973-03-27,,,,,,,,,,,,,
45,2500285,DAN570056,00-0003869,Jerome Daniels,Daniels,1974-09-13,,,,,,,,,,,,,
46,2500381,DEV722424,00-0004241,Mike Devlin,Devlin,1969-11-16,DevlMi20,Mike,74.0,305.0,Iowa,1993.0,136.0,,,,,,
47,2500384,DEX622937,00-0004250,James Dexter,Dexter,1973-03-03,DextJa20,James,79.0,319.0,South Carolina,1996.0,137.0,,,,,,
48,2500404,DIS613185,00-0004336,Chris Dishman,Dishman,1974-02-27,DishCh20,Chris,75.0,339.0,Nebraska,1997.0,106.0,,,,,,
49,2501221,HOL603272,00-0007660,Lester Holmes,Holmes,1969-09-27,HolmLe20,Lester,76.0,315.0,Jackson St.,1993.0,19.0,,,,,,
50,2501315,JAC009028,00-0008080,Chris Jacke,Jacke,1966-03-12,,,,,,,,,,,,,
51,2501387,JEN397575,00-0008357,MarTay Jenkins,Jenkins,1975-02-28,JenkMa00,MarTay,72.0,201.0,Nebraska-Omaha,1999.0,193.0,,,,,,
52,2501446,JOH569202,00-0008595,Paris Johnson,Johnson,1976-01-18,,,,,,,,,,,,,
53,2500458,DRA173324,00-0004514,Jerry Drake,Drake,1969-07-09,DrakJe20,Jerry,77.0,310.0,Hastings,,,,,,,,
54,2500497,DYE194145,00-0004678,Ernest Dye,Dye,1971-07-15,,,,,,,,,,,,,
55,2500668,FOL652410,00-0005392,James Folston,Folston,1971-08-14,FolsJa20,James,75.0,236.0,La-Monroe,1994.0,52.0,,,,,,
56,2500703,FRE105786,00-0005560,Rob Fredrickson,Fredrickson,1971-05-13,FredRo20,Rob,76.0,240.0,Michigan St.,1994.0,22.0,,,,,,
57,2499719,BOS674793,00-0001532,David Boston,Boston,1978-08-19,BostDa00,David,74.0,240.0,Ohio St.,1999.0,8.0,,,,,,
58,2499753,BRA224510,00-0001647,Melvin Bradley,Bradley,1976-08-15,BradMe20,Melvin,74.0,282.0,Arkansas,1999.0,202.0,,,,,,
59,2499831,BRO381657,00-0001907,Dave Brown,Brown,1970-02-25,BrowDa00,Dave,77.0,230.0,Duke,1992.0,1.0,,,,,,
60,2499835,BRO391782,00-0001919,Derek Brown,Brown,1970-03-31,BrowDe00,Derek,78.0,259.0,Notre Dame,1992.0,14.0,,,,,,
61,2499918,BUR227401,00-0002257,Tom Burke,Burke,1976-10-12,BurkTo20,Tom,75.0,275.0,Wisconsin,1999.0,83.0,,,,,,
62,2499416,AND020258,00-0000282,Morten Andersen,Andersen,1960-08-19,,,,,,,,,,,,,
63,2499427,AND291208,00-0000316,Jamal Anderson,Anderson,1972-09-30,AndeJa00,Jamal,71.0,237.0,Utah,1994.0,201.0,,,,,,
64,2499446,ARC138430,00-0000405,Lester Archambeau,Archambeau,1967-06-27,ArchLe20,Lester,77.0,275.0,Stanford,1990.0,186.0,,,,,,
65,2499499,BAK189228,00-0000627,Eugene Baker,Baker,1976-03-18,BakeEu00,Eugene,74.0,183.0,Kent St.,1999.0,164.0,,,,,,
66,2499658,BIS359918,00-0001267,Greg Bishop,Bishop,1971-05-02,BishGr20,Greg,77.0,305.0,Pacific,1993.0,93.0,,,,,,
67,2502164,MON311173,00-0011488,Rod Monroe,Monroe,1976-07-30,MonrRo00,Rodrick,77.0,254.0,Cincinnati,1998.0,237.0,,,,,,
68,2503184,STR788312,00-0015842,Dan Stryzinski,Stryzinski,1965-05-15,StryDa20,Dan,72.0,237.0,Indiana,,,,,,,,
69,2503212,SWA761708,00-0015957,Shawn Swayda,Swayda,1974-09-04,SwaySh20,Shawn,77.0,290.0,Arizona St.,1997.0,196.0,,,,,,
70,2503367,TOB078787,00-0016505,Robbie Tobeck,Tobeck,1970-03-06,TobeRo55,Robbie,76.0,297.0,Washington St.,,,,,,,,
71,2503408,TUG415290,00-0016667,Jessie Tuggle,Tuggle,1965-04-04,TuggJe00,Jessie,71.0,230.0,Valdosta St.,,,,,,,,
72,2501560,KAN382648,00-0009007,Danny Kanell,Kanell,1973-11-21,KaneDa00,Danny,75.0,218.0,Florida St.,1996.0,130.0,,,,,,
73,2501578,KEL619353,00-0009110,Jeff Kelly,Kelly,1975-12-13,KellJe20,Jeff,71.0,242.0,S.F. Austin,1999.0,198.0,,,,,,
74,2501583,KEL732070,00-0009119,Reggie Kelly,Kelly,1977-02-22,KellRe00,Reggie,76.0,257.0,Mississippi St.,1999.0,42.0,,,,,,
75,2501602,KER459393,00-0009173,Patrick Kerney,Kerney,1976-12-30,KernPa99,Patrick,77.0,272.0,Virginia,1999.0,30.0,,,,,,
76,2501653,KOZ465616,00-0009443,Brian Kozlowski,Kozlowski,1970-10-04,KozlBr00,Brian,75.0,250.0,Connecticut,,,,,,,,
77,2502358,OLI788415,00-0012368,Winslow Oliver,Oliver,1973-03-03,OlivWi00,Winslow,67.0,180.0,New Mexico,1996.0,73.0,,,,,,
78,2502378,OXE444955,00-0012480,Ken Oxendine,Oxendine,1975-10-04,OxenKe00,Ken,72.0,228.0,Virginia Tech,1998.0,201.0,,,,,,
79,2502428,PAU557540,00-0012675,Jeff Paulk,Paulk,1976-04-26,PaulJe20,Jeff,72.0,240.0,Arizona St.,1999.0,92.0,,,,,,
80,2503629,WHI657906,00-0017592,Bob Whitfield,Whitfield,1971-10-18,WhitBo23,Bob,77.0,318.0,Stanford,1992.0,8.0,,,,,,
81,2501880,MAR464274,00-0010430,Whit Marshall,Marshall,1973-01-06,MarsWh20,Whit,74.0,247.0,Georgia,1996.0,147.0,,,,,,
82,2501907,MAT235065,00-0010539,Terance Mathis,Mathis,1967-06-07,MathTe00,Terance,70.0,177.0,New Mexico,1990.0,140.0,,,,,,
83,2502485,PIL199954,00-0012990,Evan Pilgrim,Pilgrim,1972-08-14,PilgEv20,Evan,76.0,304.0,BYU,1995.0,87.0,,,,,,
84,2502519,POR780192,00-0013138,Jose Portilla,Portilla,1972-09-11,PortJo20,Jose,78.0,320.0,Arizona,,,,,,,,
85,2503680,WIL256864,00-0017787,Elijah Williams,Williams,1975-08-20,WillEl20,Elijah,70.0,181.0,Florida,1998.0,166.0,,,,,,
86,2503683,WIL276250,00-0017796,Gene Williams,Williams,1968-10-14,WillGe20,Gene,74.0,310.0,Iowa St.,1991.0,121.0,,,,,,
87,2502656,RIC637240,00-0013695,Wally Richardson,Richardson,1974-02-11,,,,,,,,,,,,,
88,2502700,ROB424316,00-0013860,Eugene Robinson,Robinson,1963-05-28,RobiEu00,Eugene,73.0,200.0,Colgate,,,,,,,,
89,2502803,SAL058019,00-0014255,Ephraim Salaam,Salaam,1976-06-19,SalaEp20,Ephraim,79.0,310.0,San Diego St.,1998.0,199.0,,,,,,
90,2502829,SAN768688,00-0014350,O.J. Santiago,Santiago,1974-03-04,SantO.00,O.J.,79.0,265.0,Kent St.,1997.0,70.0,,,,,,
91,2502839,SAU051507,00-0014376,Craig Sauer,Sauer,1972-12-31,SaueCr20,Craig,73.0,240.0,Minnesota,1996.0,188.0,,,,,,
92,2501938,MCB751477,00-0010646,Gerald McBurrows,McBurrows,1973-10-07,McBuGe20,Gerald,71.0,208.0,Kansas,1995.0,214.0,,,,,,
93,2501951,MCC451792,00-0010711,Todd McClure,McClure,1977-02-16,McClTo20,Todd,73.0,296.0,LSU,1999.0,237.0,,,,,,
94,2501969,MCD167200,00-0010792,Pellom McDaniels,McDaniels,1968-02-21,McDaPe20,Pellom,75.0,284.0,Oregon St.,,,,,,,,
95,2502857,SCH498318,00-0014486,Adam Schreiber,Schreiber,1962-02-20,SchrAd20,Adam,76.0,290.0,Texas,1984.0,243.0,,,,,,
96,2503006,SMI136060,00-0015124,Chuck Smith,Smith,1969-12-21,SmitCh23,Chuck,74.0,257.0,Tennessee,1992.0,51.0,,,,,,
97,2500796,GER507348,00-0005903,Jammi German,German,1974-07-04,GermJa00,Jammi,73.0,191.0,Miami (FL),1998.0,74.0,,,,,,
98,2500884,GRA827270,00-0006299,Tony Graziani,Graziani,1973-12-23,GrazTo00,Tony,74.0,210.0,Oregon,1997.0,204.0,,,,,,
99,2500897,GRE298653,00-0006335,Lamont Green,Green,1976-07-10,GreeLa20,Lamont,75.0,230.0,Florida St.,,,,,,,,
100,2499972,CAL719836,00-0002544,Chris Calloway,Calloway,1968-03-29,CallCh00,Chris,70.0,188.0,Michigan,1990.0,97.0,,,,,,
101,2500017,CAR716512,00-0002748,Marty Carter,Carter,1969-12-17,CartMa20,Marty,73.0,209.0,Middle Tenn. St.,1991.0,207.0,,,,,,
102,2500022,CAR809045,00-0002775,Johndale Carty,Carty,1977-08-27,CartJo22,Johndale,72.0,196.0,Utah St.,1999.0,126.0,,,,,,
103,2500048,CHA222838,00-0002876,Chris Chandler,Chandler,1965-10-12,ChanCh00,Chris,76.0,224.0,Washington,1988.0,76.0,,,,,,
104,2500069,CHR364011,00-0002970,Bob Christian,Christian,1968-11-14,ChriBo00,Bob,71.0,226.0,Northwestern,1991.0,310.0,,,,,,
105,2500146,COL520390,00-0003269,Calvin Collins,Collins,1974-01-05,CollCa20,Calvin,74.0,307.0,Texas A&M,1997.0,180.0,,,,,,
106,2500978,HAL550875,00-0006684,Travis Hall,Hall,1972-08-03,HallTr20,Travis,77.0,295.0,BYU,1995.0,181.0,,,,,,
107,2500979,HAL633365,00-0006688,Bob Hallen,Hallen,1975-03-09,HallBo20,Bob,75.0,305.0,Kent St.,1998.0,53.0,,,,,,
108,2500996,HAM344281,00-0006728,Ruffin Hamilton,Hamilton,1971-03-02,HamiRu20,Ruffin,73.0,235.0,Tulane,1994.0,175.0,,,,,,
109,2501017,HAN779808,00-0006803,Byron Hanspard,Hanspard,1976-01-23,HansBy00,Byron,70.0,198.0,Texas Tech,1997.0,41.0,,,,,,
110,2501054,HAR531318,00-0006994,Ronnie Harris,Harris,1970-06-04,HarrRo00,Ronnie,71.0,179.0,Oregon,,,,,,,,
111,2500236,CRO026651,00-0003660,Henri Crockett,Crockett,1974-10-28,CrocHe20,Henri,74.0,240.0,Florida St.,1997.0,100.0,,,,,,
112,2501262,HUF077866,00-0007867,Ben Huff,Huff,1975-02-21,,,,,,,,,,,,,
113,2501365,JAS254361,00-0008284,Ed Jasper,Jasper,1973-01-18,JaspEd20,Ed,74.0,293.0,Texas A&M,1997.0,198.0,,,,,,
114,2500453,DOW680145,00-0004495,Gary Downs,Downs,1972-06-06,DownGa00,Gary,73.0,212.0,North Carolina St.,1994.0,95.0,,,,,,
115,2500468,DRO207645,00-0004543,Shane Dronett,Dronett,1971-01-12,DronSh20,Shane,78.0,300.0,Texas,1992.0,54.0,,,,,,
116,2500495,DWI237309,00-0004673,Tim Dwight,Dwight,1975-07-13,DwigTi00,Tim,68.0,180.0,Iowa,1998.0,114.0,,,,,,
117,2499703,BOO044465,00-0001478,Michael Booker,Booker,1975-04-27,BookMi20,Michael,74.0,203.0,Nebraska,1997.0,11.0,,,,,,
118,2499748,BRA101224,00-0001630,Ronnie Bradford,Bradford,1970-10-01,BradRo20,Ronnie,70.0,188.0,Colorado,1993.0,105.0,,,,,,
119,2499799,BRO110262,00-0001820,Keith Brooking,Brooking,1975-10-30,BrooKe00,Keith,74.0,240.0,Georgia Tech,1998.0,12.0,,,,,,
120,2499860,BRO567732,00-0002010,Omar Brown,Brown,1975-03-28,BrowOm20,Omar,70.0,200.0,North Carolina,1998.0,103.0,,,,,,
121,2499897,BUC184360,00-0002166,Ray Buchanan,Buchanan,1971-09-29,BuchRa00,Ray,69.0,186.0,Louisville,1993.0,65.0,,,,,,
122,2499451,ARM039085,00-0000422,Justin Armour,Armour,1973-01-01,ArmoJu00,Justin,76.0,210.0,Stanford,1995.0,113.0,,,,,,
123,2499468,ATK298488,00-0000485,James Atkins,Atkins,1970-01-28,AtkiJa20,James,78.0,306.0,Louisiana,,,,,,,,
124,2499481,AYA444955,00-0000552,Obafemi Ayanbadejo,Ayanbadejo,1975-03-05,AyanOb00,Obafemi,74.0,237.0,San Diego St.,,,,,,,,
125,2499522,BAN403290,00-0000722,Tony Banks,Banks,1973-04-05,BankTo00,Tony,76.0,230.0,Michigan St.,1996.0,42.0,,,,,,
126,2499666,BLA321835,00-0001307,Jeff Blackshear,Blackshear,1969-03-29,BlacJe20,Jeff,78.0,323.0,La-Monroe,1993.0,197.0,,,,,,
127,2502135,MIT115602,00-0011390,Anthony Mitchell,Mitchell,1974-12-13,MitcAn20,Anthony,73.0,220.0,Tuskegee,,,,,,,,
128,2502144,MIT361739,00-0011411,Jeff Mitchell,Mitchell,1974-01-29,MitcJe20,Jeff,76.0,300.0,Florida,1997.0,134.0,,,,,,
129,2502150,MIT766982,00-0011434,Scott Mitchell,Mitchell,1968-01-02,MitcSc00,Scott,78.0,240.0,Utah,1990.0,93.0,,,,,,
130,2502193,MOO703635,00-0011613,Stevon Moore,Moore,1967-02-09,MoorSt21,Stevon,71.0,210.0,Mississippi,1989.0,181.0,,,,,,
131,2502235,MUL140625,00-0011803,Edwin Mulitalo,Mulitalo,1974-09-01,MuliEd20,Edwin,75.0,350.0,Arizona,1999.0,129.0,,,,,,
132,2502261,NAS338384,00-0011932,Marcus Nash,Nash,1976-02-01,NashMa00,Marcus,75.0,195.0,Tennessee,1998.0,30.0,,,,,,
133,2503110,STA575276,00-0015577,Duane Starks,Starks,1974-05-23,StarDu20,Duane,70.0,172.0,Miami (FL),1998.0,10.0,,,,,,
134,2503158,STO309337,00-0015754,Brandon Stokley,Stokley,1976-06-23,StokBr00,Brandon,72.0,194.0,Louisiana,1999.0,105.0,,,,,,
135,2503167,STO772332,00-0015784,Matt Stover,Stover,1968-01-27,,,,,,,,,,,,,
136,2503213,SWA775208,00-0015958,Harry Swayne,Swayne,1965-02-02,SwayHa20,Harry,77.0,290.0,Rutgers,1987.0,190.0,,,,,,
137,2503331,THO484960,00-0016355,Bennie Thompson,Thompson,1963-02-10,ThomBe00,Bennie,72.0,210.0,Grambling St.,,,,,,,,
138,2503387,TRA351377,00-0016591,James Trapp,Trapp,1969-12-28,TrapJa20,James,72.0,195.0,Clemson,1993.0,72.0,,,,,,
139,2502342,OFO148317,00-0012317,A.J. Ofodile,Ofodile,1973-10-09,OfodA.00,A.J.,78.0,260.0,Missouri,1994.0,158.0,,,,,,
140,2502345,OGD403291,00-0012322,Jonathan Ogden,Ogden,1974-07-31,OgdeJo00,Jonathan,81.0,345.0,UCLA,1996.0,4.0,,,,,,
141,2502446,PER548050,00-0012808,Darren Perry,Perry,1968-12-29,PerrDa20,Darren,71.0,196.0,Penn St.,1992.0,203.0,,,,,,
142,2502459,PET163805,00-0012849,Tyrell Peters,Peters,1974-08-04,PeteTy20,Tyrell,72.0,230.0,Oklahoma,,,,,,,,
143,2503476,VIN555054,00-0016931,Tony Vinson,Vinson,1971-03-13,VinsTo00,Tony,73.0,229.0,Purdue,1994.0,160.0,,,,,,
144,2503490,WAI152616,00-0016993,Frank Wainright,Wainright,1967-10-10,WainFr00,Frank,74.0,255.0,Northern Colorado,1991.0,210.0,,,,,,
145,2503553,WAS483081,00-0017255,Keith Washington,Washington,1972-12-18,WashKe20,Keith,76.0,285.0,UNLV,,,,,,,,
146,2503581,WEB736183,00-0017378,Larry Webster,Webster,1969-01-18,WebsLa20,Larry,77.0,310.0,Maryland,1992.0,70.0,,,,,,
147,2501746,LEW376340,00-0009869,Jermaine Lewis,Lewis,1974-10-16,LewiJe00,Jermaine,67.0,183.0,Maryland,1996.0,153.0,,,,,,
148,2501750,LEW562347,00-0009889,Ray Lewis,Lewis,1975-05-15,LewiRa00,Ray,73.0,240.0,Miami (FL),1996.0,26.0,,,,,,
149,2501760,LIN302290,00-0009941,Everett Lindsay,Lindsay,1970-09-18,LindEv20,Everett,76.0,305.0,Mississippi,1993.0,133.0,,,,,,
150,2501799,LOV051141,00-0010094,Clarence Love,Love,1976-06-16,LoveCl20,Clarence,70.0,180.0,Toledo,1998.0,116.0,,,,,,
151,2502481,PIE180423,00-0012971,Aaron Pierce,Pierce,1969-09-06,PierAa00,Aaron,77.0,252.0,Washington,1992.0,69.0,,,,,,
152,2502500,POI588435,00-0013052,Anthony Poindexter,Poindexter,1976-07-28,PoinAn20,Anthony,72.0,210.0,Virginia,1999.0,216.0,,,,,,
153,2502564,PUR656509,00-0013308,Lovett Purnell,Purnell,1972-04-07,PurnLo00,Lovett,75.0,245.0,West Virginia,1996.0,216.0,,,,,,
154,2503724,WIL515344,00-0017927,Sammy Williams,Williams,1974-12-14,WillSa23,Sammy,77.0,318.0,Oklahoma,1998.0,164.0,,,,,,
155,2503799,WOO699408,00-0018229,Rod Woodson,Woodson,1965-03-10,WoodRo01,Rod,72.0,200.0,Purdue,1987.0,10.0,,,,,,
156,2502638,RHE718773,00-0013622,Errict Rhett,Rhett,1970-12-11,RhetEr00,Errict,71.0,210.0,Florida,1994.0,34.0,,,,,,
157,2502652,RIC566253,00-0013682,Kyle Richardson,Richardson,1973-03-02,RichKy20,Kyle,74.0,210.0,Arkansas St.,,,,,,,,
158,2501936,MCA544720,00-0010634,Chris McAlister,McAlister,1977-06-14,McAlCh00,Chris,73.0,206.0,Arizona,1999.0,10.0,,,,,,
159,2501959,MCC660247,00-0010749,Michael McCrary,McCrary,1970-07-07,McCrMi00,Michael,76.0,266.0,Wake Forest,1993.0,170.0,,,,,,
160,2502909,SHA505803,00-0014725,Jamie Sharper,Sharper,1974-11-23,SharJa20,Jamie,75.0,240.0,Virginia,1997.0,34.0,,,,,,
161,2502975,SIR276861,00-0015002,Tony Siragusa,Siragusa,1967-05-14,SiraTo20,Tony,75.0,330.0,Pittsburgh,,,,,,,,
162,2503019,SMI271440,00-0015171,Fernando Smith,Smith,1971-08-02,SmitFe20,Fernando,78.0,287.0,Jackson St.,1994.0,55.0,,,,,,
163,2500859,GRA198079,00-0006208,Jay Graham,Graham,1975-07-14,GrahJa00,Jay,72.0,220.0,Tennessee,1997.0,64.0,,,,,,
164,2500026,CAS138429,00-0002787,Stoney Case,Case,1972-07-07,CaseSt00,Stoney,75.0,204.0,New Mexico,1995.0,80.0,,,,,,
165,2500050,CHA690038,00-0002908,Martin Chase,Chase,1974-12-19,ChasMa20,Martin,74.0,310.0,Oklahoma,1998.0,124.0,,,,,,
166,2500154,COL681036,00-0003310,Ryan Collins,Collins,1975-11-01,CollRy00,Ryan,78.0,259.0,St. Thomas,,,,,,,,
167,2501040,HAR359300,00-0006927,Corey Harris,Harris,1969-10-25,HarrCo20,Corey,71.0,213.0,Vanderbilt,1992.0,77.0,,,,,,
168,2501060,HAR576333,00-0007017,Chris Harrison,Harrison,1972-02-25,,,,,,,,,,,,,
169,2501136,HER564218,00-0007334,Kim Herring,Herring,1975-09-10,HerrKi20,Kim,72.0,212.0,Penn St.,1997.0,58.0,,,,,,
170,2500276,DAL680900,00-0003838,Lional Dalton,Dalton,1975-02-21,DaltLi20,Lional,73.0,315.0,East. Michigan,,,,,,,,
171,2500305,DAV802056,00-0003944,Billy Davis,Davis,1972-07-06,DaviBi00,Billy,73.0,205.0,Pittsburgh,,,,,,,,
172,2500363,DEL563760,00-0004172,Greg DeLong,DeLong,1973-04-03,DeLoGr00,Greg,76.0,250.0,North Carolina,,,,,,,,
173,2501222,HOL627237,00-0007661,Priest Holmes,Holmes,1973-10-07,HolmPr00,Priest,69.0,213.0,Texas,,,,,,,,
174,2501309,ISM059326,00-0008059,Qadry Ismail,Ismail,1970-11-08,IsmaQa00,Qadry,72.0,196.0,Syracuse,1993.0,52.0,,,,,,
175,2501318,JAC055296,00-0008097,Brad Jackson,Jackson,1975-01-11,JackBr20,Brad,72.0,230.0,Cincinnati,1998.0,79.0,,,,,,
176,2501381,JEN178440,00-0008339,DeRon Jenkins,Jenkins,1973-11-14,JenkDe20,DeRon,71.0,190.0,Tennessee,1996.0,55.0,,,,,,
177,2501447,JOH570510,00-0008598,Pat Johnson,Johnson,1976-08-10,JohnPa00,Patrick,70.0,186.0,Oregon,1998.0,42.0,,,,,,
178,2500445,DOU543962,00-0004472,Marques Douglas,Douglas,1977-03-15,DougMa20,Marques,74.0,290.0,Howard,,,,,,,,
179,2500566,EVA094239,00-0004972,Chuck Evans,Evans,1967-04-16,EvanCh00,Charles,73.0,240.0,Clark (GA),1992.0,295.0,,,,,,
180,2500661,FLY498348,00-0005366,Mike Flynn,Flynn,1974-06-15,FlynMi20,Mike,75.0,305.0,Maine,,,,,,,,
181,2500665,FOL021296,00-0005377,Spencer Folau,Folau,1973-04-05,FolaSp20,Spencer,77.0,315.0,Idaho,,,,,,,,
182,2499724,BOU345732,00-0001544,Peter Boulware,Boulware,1974-12-18,BoulPe00,Peter,76.0,255.0,Florida St.,1997.0,4.0,,,,,,
