,pfr_id,last_name,first_name,height,weight,dob,college,draft_year,draft_position,combine_forty,combine_bench_reps,combine_broad_jump,combine_shuttle,combine_cone,combine_vertical,gsis_id
87,AlShAz00,Al-Shaair,Azeez,74,228,1997-08-04,Florida Atlantic,,,,,,,,,00-0035166
88,AlabAn20,Alabi,Anthony,77,315,1981-02-16,TCU,2005.0,162.0,5.12,18.0,105.0,4.6,7.62,32.5,00-0023595
89,AlamIk99,Alama-Francis,Ikaika,77,280,1984-12-04,Hawaii,2007.0,58.0,4.85,,,,,,00-0025445
90,AlbeBr20,Albert,Branden,77,314,1984-11-04,Virginia,2008.0,15.0,5.17,23.0,111.0,4.78,7.97,26.0,00-0026155
91,AlbrAl00,Albright,Alex,77,251,1988-01-29,Boston Col.,,,,,,,,,00-0028614
92,AlbrBr00,Albright,Bryson,77,245,1994-03-15,Miami (OH),,,,,,,,,00-0032491
93,AlbrEt20,Albright,Ethan,77,265,1971-05-01,North Carolina,,,,,,,,,00-0000121
94,AlcoZa20,Alcorn,Zac,76,260,1983-09-18,Chadron St.,,,,,,,,,
95,AldrAl21,Aldridge,Allen,73,254,1972-05-30,Houston,1994.0,51.0,,,,,,,00-0000129
96,AldrKe20,Aldridge,Kevin,73,285,1980-03-03,SMU,,,,,,,,,00-0020665
97,AleaIn20,Aleaga,Ink,73,251,1973-04-27,Washington,,,,,,,,,00-0000134
98,AlecCh00,Alecxih,Chas,75,296,1989-02-10,Pittsburgh,,,5.31,19.0,99.0,4.62,7.74,25.5,00-0029099
99,AlexAd00,Alexander,Adonis,75,205,1996-11-07,Virginia Tech,2018.0,1.0,,,,,,,00-0034840
100,AlexAl00,Alexander,Alvester,71,204,1990-10-17,Wyoming,,,,,,,,,00-0029331
101,AlexBr20,Alexander,Brent,71,189,1971-07-10,Tennessee St.,,,,,,,,,00-0000136
102,AlexD.00,Alexander,D.J.,74,233,1991-09-30,Oregon St.,2015.0,172.0,,,,,,,00-0031950
103,AlexDa21,Alexander,Dan,72,257,1978-03-17,Nebraska,2001.0,192.0,,,,,,,00-0020487
104,AlexDa00,Alexander,Danario,77,221,1986-08-07,Missouri,,,4.62,,,,,,00-0027912
105,AlexDe00,Alexander,Derrick,74,195,1971-11-06,Michigan,1994.0,29.0,,,,,,,00-0000145
106,AlexDe20,Alexander,Derrick,76,277,1973-11-13,Florida St.,1995.0,11.0,,,,,,,00-0000146
107,AlexDo01,Alexander,Dominique,72,235,1995-04-20,Oklahoma,,,,,,,,,00-0032983
108,AlexEl20,Alexander,Elijah,74,233,1970-08-02,Kansas St.,1992.0,254.0,,,,,,,00-0000147
109,AlexEr20,Alexander,Eric,74,240,1982-02-08,LSU,,,,,,,,,00-0022342
110,AlexFr00,Alexander,Frank,76,260,1989-12-17,Oklahoma,2012.0,103.0,4.8,,,,,,00-0029270
111,AlexGe99,Alexander,Gerald,72,210,1984-06-28,Boise St.,2007.0,61.0,4.51,15.0,124.0,4.21,7.24,41.0,00-0025448
112,AlexJa00,Alexander,Jaire,70,196,1997-02-09,Louisville,2018.0,18.0,4.38,14.0,127.0,3.98,6.71,35.0,00-0034728
113,AlexKe02,Alexander,Kevin,76,265,1987-07-01,Clemson,,,,,,,,,00-0027276
114,AlexKw00,Alexander,Kwon,73,227,1994-08-03,LSU,2015.0,124.0,4.55,24.0,121.0,4.2,7.14,36.0,00-0032109
115,AlexLo99,Alexander,Lorenzo,73,245,1983-05-31,California,,,5.12,28.0,106.0,4.55,7.53,29.5,00-0023259
116,AlexMa01,Alexander,Mackensie,70,192,1993-11-12,Clemson,2016.0,54.0,4.43,11.0,,,,,00-0032389
117,AlexMa00,Alexander,Maurice,74,220,1991-02-16,Utah St.,2014.0,110.0,4.5,,123.0,4.51,7.05,38.0,00-0031393
118,AlexMi01,Alexander,Mister,75,227,1988-06-02,Florida St.,,,,,,,,,00-0028533
119,AlexP.20,Alexander,P.J.,76,297,1978-12-23,Syracuse,,,5.38,,102.0,4.73,7.9,29.5,00-0020728
120,AlexRo21,Alexander,Roc,70,186,1981-09-23,Washington,,,4.35,,125.0,4.23,6.97,39.5,00-0022569
121,AlexRu20,Alexander,Rufus,73,228,1983-04-12,Oklahoma,2007.0,176.0,4.79,25.0,117.0,4.3,7.06,35.0,00-0025563
122,AlexSh00,Alexander,Shaun,71,225,1977-08-30,Alabama,2000.0,19.0,4.58,,,,,,00-0019647
123,AlexSt00,Alexander,Stephen,76,250,1975-11-07,Oklahoma,1998.0,48.0,,,,,,,00-0000166
124,AlexVa00,Alexander,Vadal,77,325,1994-03-23,LSU,2016.0,234.0,5.57,25.0,95.0,4.9,8.04,24.0,00-0032899
125,AlexRi00,Alexis,Rich,72,213,1981-05-06,Washington,,,4.64,,114.0,4.43,7.41,32.0,00-0022228
126,AlfoBr00,Alford,Brian,73,190,1975-06-07,Purdue,1998.0,70.0,,,,,,,00-0000172
127,AlfoDa20,Alford,Darnell,76,328,1977-06-11,Boston Col.,2000.0,188.0,5.56,23.0,94.0,4.98,8.48,25.0,00-0019677
128,AlfoDo00,Alford,Dominic,75,320,1988-02-22,,,,,,,,,,00-0028705
129,AlfoJa99,Alford,Jay,74,280,1983-05-28,Penn St.,2007.0,81.0,5.17,,103.0,4.83,7.81,25.5,00-0025468
130,AlfoMa00,Alford,Mario,68,177,1992-02-25,West Virginia,2015.0,238.0,4.43,13.0,121.0,4.07,6.64,34.0,00-0031962
131,AlfoRo00,Alford,Robert,70,186,1988-11-01,SE Louisiana,2013.0,60.0,4.39,17.0,132.0,4.23,6.89,40.0,00-0030528
132,AlieMo00,Alie-Cox,Mo,77,267,1993-09-19,,,,,,,,,,00-0033217
133,AlleNi00,Allegretti,Nick,76,320,1996-04-21,Illinois,2019.0,216.0,,,,,,,00-0035149
134,AlleAn20,Alleman,Andy,76,310,1983-11-20,Akron,2007.0,88.0,5.07,27.0,106.0,4.65,7.8,30.0,00-0025475
135,AlleAn01,Allen,Anthony,72,223,1988-08-06,Louisville,2011.0,225.0,4.56,24.0,120.0,4.06,6.79,41.5,00-0028163
136,AlleAn02,Allen,Antonio,73,210,1988-09-23,South Carolina,2012.0,242.0,4.58,17.0,118.0,4.25,7.02,34.0,00-0029553
137,AlleAr00,Allen,Armando,70,205,1989-04-30,Notre Dame,,,4.59,23.0,,,,,00-0028565
138,AlleAs99,Allen,Asher,70,190,1988-01-22,Georgia,2009.0,86.0,4.48,22.0,115.0,4.3,6.93,35.0,00-0027058
139,AlleBe00,Allen,Beau,75,327,1991-11-14,Wisconsin,2014.0,224.0,,,,,,,00-0031089
140,AlleBr00,Allen,Brandon,74,209,1992-09-05,Arkansas,2016.0,201.0,4.84,,110.0,4.33,7.06,28.0,00-0032434
141,AlleBr21,Allen,Brian,72,232,1978-04-01,Florida St.,2001.0,83.0,4.65,25.0,,,,,00-0020295
142,AlleBr20,Allen,Brian,69,205,1980-04-20,Stanford,2002.0,204.0,4.46,19.0,112.0,4.08,6.9,33.0,00-0021311
143,AlleBr01,Allen,Brian,75,215,1993-10-21,Utah,2017.0,173.0,4.48,15.0,117.0,4.34,6.64,34.5,00-0033467
144,AlleBr02,Allen,Brian,74,303,1995-10-11,Michigan St.,2018.0,111.0,5.34,27.0,99.0,4.71,7.81,26.5,00-0034804
145,AlleCh02,Allen,Chase,75,246,1993-08-29,Southern Illinois,,,,,,,,,00-0033399
146,AlleCo00,Allen,Cortez,73,196,1988-10-29,The Citadel,2011.0,128.0,4.5,18.0,129.0,4.01,6.76,35.5,00-0028066
147,AlleDa01,Allen,Dakota,73,232,1995-11-02,Texas Tech,2019.0,251.0,4.77,23.0,116.0,4.04,6.88,31.5,00-0035670
148,AlleDa00,Allen,David,69,195,1978-02-09,Kansas St.,,,4.62,15.0,111.0,,,31.0,00-0020058
149,AlleDe00,Allen,Denicos,70,225,1990-08-09,Michigan St.,,,,,,,,,00-0031117
150,AlleDw00,Allen,Dwayne,76,260,1990-02-24,Clemson,2012.0,64.0,4.85,27.0,110.0,4.37,7.12,32.0,00-0029689
151,AlleEr00,Allen,Eric,70,184,1965-11-22,Arizona St.,1988.0,30.0,,,,,,,00-0000204
152,AlleIa20,Allen,Ian,76,310,1978-07-22,Purdue,,,,,,,,,00-0020201
153,AlleJa24,Allen,Jake,76,190,1985-01-19,Mississippi Col.,,,,,,,,,00-0026022
154,AlleJa00,Allen,James,70,212,1975-03-28,Oklahoma,,,,,,,,,00-0000210
155,AlleJa21,Allen,James,74,245,1979-11-11,Oregon St.,2002.0,82.0,4.62,24.0,126.0,4.21,7.59,38.0,00-0021207
156,AlleJa22,Allen,Jared,78,270,1982-04-03,Idaho St.,2004.0,126.0,4.72,13.0,120.0,4.34,7.11,33.0,00-0022740
157,AlleJa23,Allen,Jason,73,200,1983-07-05,Tennessee,2006.0,16.0,4.39,17.0,131.0,3.81,6.75,39.5,00-0024231
158,AlleJa01,Allen,Javorius,72,218,1991-08-27,USC,2015.0,125.0,4.53,11.0,121.0,4.28,6.96,35.5,00-0031577
159,AlleJe01,Allen,Jeff,76,306,1990-01-08,Illinois,2012.0,44.0,5.17,26.0,102.0,4.9,8.01,27.5,00-0029524
160,AlleJo01,Allen,Jonathan,75,300,1995-01-16,Alabama,2017.0,17.0,5.0,21.0,108.0,4.5,7.49,30.0,00-0033523
161,AlleJo00,Allen,Josh,75,315,1991-10-30,La-Monroe,,,,,,,,,00-0030833
162,AlleJo02,Allen,Josh,77,237,1996-05-21,Wyoming,2018.0,7.0,4.75,,119.0,4.4,6.9,33.5,00-0034857
163,AlleJo03,Allen,Josh,77,262,1997-07-13,Kentucky,2019.0,7.0,4.63,28.0,118.0,4.23,7.15,,00-0035642
164,AlleKe00,Allen,Keenan,74,211,1992-04-27,California,2013.0,76.0,4.58,,,,,,00-0030279
165,AlleKe20,Allen,Kenderick,77,328,1978-09-14,LSU,,,,,,,,,00-0021709
166,AlleKy00,Allen,Kyle,75,210,1996-03-08,Texas A&M,,,,,,,,,00-0034577
167,AlleLa00,Allen,Larry,75,335,1971-11-27,Butte JC (CA),1994.0,46.0,,,,,,,00-0000217
168,AlleMa03,Allen,Marcus,74,215,1996-08-07,Penn St.,2018.0,148.0,,15.0,127.0,4.32,,37.0,00-0034335
169,AlleMa20,Allen,Matt,74,246,1977-10-23,Troy,,,,,,,,,00-0020214
170,AlleNa99,Allen,Nate,73,205,1987-11-30,South Florida,2010.0,37.0,4.5,16.0,,,,,00-0027652
171,AlleRa00,Allen,Rashaun,76,250,1989-05-25,Southern,,,,,,,,,
172,AlleRi00,Allen,Ricardo,69,186,1991-12-18,Purdue,2014.0,147.0,4.61,13.0,117.0,4.15,,35.5,00-0031181
173,AlleRo20,Allen,Roger,75,329,1986-02-10,Missouri Western St.,,,5.25,,,,,,00-0026592
174,AlleRu00,Allen,Russell,75,230,1986-05-05,San Diego St.,,,,,,,,,00-0026605
175,AlleRy01,Allen,Ryan,74,220,1990-02-28,Louisiana Tech,,,4.98,,,,,,00-0029984
176,AlleTa20,Allen,Taje,70,185,1973-11-06,Texas,1997.0,158.0,,,,,,,00-0000231
177,AlleTe00,Allen,Terry,70,204,1968-02-21,Clemson,1990.0,241.0,,,,,,,00-0000232
178,AlleTo00,Allen,Torrence,73,190,1991-03-31,West Texas A&M,,,,,,,,,00-0030914
179,AlleWi20,Allen,Will,70,195,1978-08-05,Syracuse,2001.0,22.0,4.44,14.0,121.0,3.9,6.78,39.5,00-0020467
180,AlleWi21,Allen,Will,73,202,1982-06-17,Ohio St.,2004.0,111.0,4.58,,,,,,00-0022900
181,AlleZa01,Allen,Zach,76,281,1997-08-20,Boston Col.,2019.0,65.0,5.0,24.0,112.0,4.36,7.34,32.0,00-0035248
182,AlliAu00,Allison,Aundrae,72,198,1986-04-20,East Carolina,2007.0,146.0,4.39,,127.0,,,37.0,
183,AlliGe01,Allison,Geronimo,75,202,1994-01-18,Illinois,,,4.67,,127.0,4.28,7.4,33.0,00-0032626
184,AllrCo99,Allred,Colin,73,242,1983-04-15,Baylor,,,,,,,,,00-0023812
185,AllrJo00,Allred,John,76,249,1974-09-09,USC,1997.0,38.0,,,,,,,00-0000242
186,AlonKi00,Alonso,Kiko,75,239,1990-08-14,Oregon,2013.0,46.0,4.74,,,,,,00-0030401
187,AlstJo20,Alston,Jon,72,235,1983-06-04,Stanford,2006.0,77.0,4.5,30.0,132.0,4.13,6.9,40.0,00-0024292
188,AlstRi20,Alston,Richard,72,213,1980-11-20,East Carolina,,,,,,,,,00-0021890
189,AlstMi00,Alstott,Mike,73,248,1973-12-21,Purdue,1996.0,35.0,,,,,,,00-0000251
190,AluaTy99,Alualu,Tyson,75,304,1987-05-12,California,2010.0,10.0,4.87,21.0,116.0,4.43,7.15,35.5,00-0027862
191,AmadUg00,Amadi,Ugochukwu,69,201,1997-05-17,Oregon,2019.0,132.0,,,,,,,00-0035142
192,AmanEu20,Amano,Eugene,75,300,1982-03-01,SE Missouri St.,2004.0,239.0,,,,,,,00-0022771
193,AmarJa00,Amaro,Jace,77,265,1992-06-26,Texas Tech,2014.0,49.0,4.74,28.0,118.0,4.3,7.42,33.0,00-0031042
194,AmatKe20,Amato,Ken,74,240,1977-05-18,Montana St.,,,,,,,,,00-0021126
195,AmayJo00,Amaya,Jonathon,73,203,1988-11-25,Nevada,,,4.43,8.0,118.0,,,28.0,00-0027355
196,AmbrAs00,Ambrose,Ashley,71,190,1970-09-17,Miss. Valley St.,1992.0,29.0,,,,,,,00-0000261
197,AmenDa00,Amendola,Danny,71,185,1985-11-02,Texas Tech,,,4.58,13.0,103.0,4.25,6.81,27.5,00-0026035
198,AmerDa00,Amerson,David,73,212,1991-12-08,North Carolina St.,2013.0,51.0,4.44,15.0,127.0,,,35.5,00-0030420
199,AmeyFr00,Amey,Otis,71,200,1981-12-04,Sacramento St.,,,,,,,,,00-0023042
200,AmosAd00,Amos,Adrian,72,214,1993-04-29,Penn St.,2015.0,142.0,4.56,,122.0,4.03,7.09,35.5,00-0031584
201,AmukPr00,Amukamara,Prince,72,206,1989-06-06,Nebraska,2011.0,19.0,4.38,15.0,128.0,4.08,6.97,38.0,00-0027957
202,AndeKi00,Anders,Kimble,71,225,1966-09-10,Houston,,,,,,,,,00-0000279
203,AndeJa20,Andersen,Jason,78,319,1975-09-03,BYU,1998.0,211.0,,,,,,,00-0000281
204,AndeAb00,Anderson,Abdullah,75,297,1996-01-24,,,,,,,,,,00-0034587
205,AndeAn23,Anderson,Andre',71,205,1988-05-01,Tulane,,,,,,,,,00-0027906
206,AndeBe20,Anderson,Bennie,77,345,1977-02-17,Tennessee St.,,,,,,,,,00-0019434
207,AndeBr23,Anderson,Brandon,70,180,1985-12-10,Akron,,,,,,,,,00-0026697
208,AndeBr22,Anderson,Bryan,76,320,1980-03-30,Pittsburgh,2003.0,261.0,,,,,,,00-0021950
209,AndeC.00,Anderson,C.J.,68,225,1991-02-10,California,,,4.6,17.0,119.0,4.12,7.15,32.0,00-0029854
210,AndeCh21,Anderson,Charlie,76,250,1981-12-08,Mississippi,2004.0,200.0,,,,,,,00-0022764
211,AndeCo01,Anderson,Colt,70,194,1985-10-25,Montana,,,,,,,,,00-0026578
212,AndeCo00,Anderson,Courtney,79,270,1980-11-19,San Jose St.,2004.0,245.0,4.89,17.0,106.0,4.45,7.86,30.0,00-0022704
213,AndeDa00,Anderson,Damien,71,212,1979-07-17,Northwestern,,,4.56,27.0,112.0,4.02,6.93,33.5,00-0021048
214,AndeDa01,Anderson,David,70,192,1983-07-28,Colorado St.,2006.0,251.0,4.57,,116.0,4.2,6.88,34.0,00-0024465
215,AndeDe01,Anderson,Deon,70,248,1983-01-27,Connecticut,2007.0,195.0,4.73,23.0,114.0,4.43,7.27,33.0,00-0025582
216,AndeDe00,Anderson,Derek,78,235,1983-06-15,Oregon St.,2005.0,213.0,5.03,,103.0,4.62,7.67,29.0,00-0023645
217,AndeDw21,Anderson,Dwight,71,188,1981-07-05,South Dakota,,,,,,,,,00-0022302
218,AndeHe00,Anderson,Henry,78,301,1991-08-03,Stanford,2015.0,93.0,4.97,,111.0,4.19,7.2,30.0,00-0032269
219,AndeJa98,Anderson,Jamaal,77,288,1986-02-06,Arkansas,2007.0,8.0,4.75,,,,,,00-0025395
220,AndeJa00,Anderson,Jamal,71,237,1972-09-30,Utah,1994.0,201.0,,,,,,,00-0000316
221,AndeJa21,Anderson,James,74,235,1983-09-26,Virginia Tech,2006.0,88.0,4.59,,121.0,4.07,6.67,41.0,00-0024303
222,AndeJa02,Anderson,Jason,72,205,1980-04-29,South Dakota,,,,,,,,,00-0022941
223,AndeJo00,Anderson,Joe,73,196,1988-11-21,Texas Southern,,,,,,,,,00-0029494
224,AndeJo01,Anderson,Jonathan,73,237,1991-10-27,TCU,,,,,,,,,00-0031902
225,AndeJu00,Anderson,Justin,76,335,1988-04-15,Georgia,2012.0,208.0,5.24,32.0,101.0,4.99,8.04,27.0,00-0029549
226,AndeJu01,Anderson,Justin,74,232,1991-01-16,Louisiana,,,,,,,,,00-0030772
227,AndeKe20,Anderson,Ken,75,310,1975-10-04,Arkansas,,,,,,,,,00-0000325
228,AndeMa21,Anderson,Mark,76,255,1983-05-26,Alabama,2006.0,159.0,4.62,20.0,127.0,4.22,6.95,42.0,00-0024373
